"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"May, 2010","2010/05",15,Not Applicable,Not Applicable
,"Jun., 2010","2010/06",21,Not Applicable,Not Applicable
,"Jul., 2010","2010/07",18,Not Applicable,Not Applicable
,"Aug., 2010","2010/08",11,Not Applicable,Not Applicable
,"Sep., 2010","2010/09",21,Not Applicable,Not Applicable
,"Oct., 2010","2010/10",20,Not Applicable,Not Applicable
,"Nov., 2010","2010/11",11,Not Applicable,Not Applicable
,"Dec., 2010","2010/12",19,Not Applicable,Not Applicable
,"Jan., 2011","2011/01",Suppressed,Not Applicable,Not Applicable
,"Feb., 2011","2011/02",Suppressed,Not Applicable,Not Applicable
,"Mar., 2011","2011/03",12,Not Applicable,Not Applicable
,"Apr., 2011","2011/04",16,Not Applicable,Not Applicable
,"May, 2011","2011/05",19,Not Applicable,Not Applicable
,"Jun., 2011","2011/06",14,Not Applicable,Not Applicable
,"Jul., 2011","2011/07",22,Not Applicable,Not Applicable
,"Aug., 2011","2011/08",17,Not Applicable,Not Applicable
,"Sep., 2011","2011/09",Suppressed,Not Applicable,Not Applicable
,"Oct., 2011","2011/10",11,Not Applicable,Not Applicable
,"Nov., 2011","2011/11",Suppressed,Not Applicable,Not Applicable
,"Dec., 2011","2011/12",17,Not Applicable,Not Applicable
,"Jan., 2012","2012/01",10,Not Applicable,Not Applicable
,"Feb., 2012","2012/02",12,Not Applicable,Not Applicable
,"Mar., 2012","2012/03",14,Not Applicable,Not Applicable
,"Apr., 2012","2012/04",16,Not Applicable,Not Applicable
,"May, 2012","2012/05",13,Not Applicable,Not Applicable
,"Jun., 2012","2012/06",19,Not Applicable,Not Applicable
,"Jul., 2012","2012/07",16,Not Applicable,Not Applicable
,"Aug., 2012","2012/08",Suppressed,Not Applicable,Not Applicable
,"Sep., 2012","2012/09",10,Not Applicable,Not Applicable
,"Oct., 2012","2012/10",13,Not Applicable,Not Applicable
,"Nov., 2012","2012/11",12,Not Applicable,Not Applicable
,"Dec., 2012","2012/12",17,Not Applicable,Not Applicable
,"Jan., 2013","2013/01",14,Not Applicable,Not Applicable
,"Feb., 2013","2013/02",14,Not Applicable,Not Applicable
,"Mar., 2013","2013/03",13,Not Applicable,Not Applicable
,"Apr., 2013","2013/04",11,Not Applicable,Not Applicable
,"May, 2013","2013/05",15,Not Applicable,Not Applicable
,"Jun., 2013","2013/06",15,Not Applicable,Not Applicable
,"Jul., 2013","2013/07",22,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",20,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",14,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",15,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",11,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",12,Not Applicable,Not Applicable
,"Jan., 2014","2014/01",15,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",11,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",18,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",18,Not Applicable,Not Applicable
,"May, 2014","2014/05",13,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",22,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",18,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",14,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",Suppressed,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",17,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",18,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",19,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",19,Not Applicable,Not Applicable
,"Feb., 2015","2015/02",18,Not Applicable,Not Applicable
,"Mar., 2015","2015/03",13,Not Applicable,Not Applicable
,"Apr., 2015","2015/04",20,Not Applicable,Not Applicable
,"May, 2015","2015/05",20,Not Applicable,Not Applicable
,"Jun., 2015","2015/06",19,Not Applicable,Not Applicable
,"Jul., 2015","2015/07",14,Not Applicable,Not Applicable
,"Aug., 2015","2015/08",14,Not Applicable,Not Applicable
,"Sep., 2015","2015/09",12,Not Applicable,Not Applicable
,"Oct., 2015","2015/10",Suppressed,Not Applicable,Not Applicable
,"Nov., 2015","2015/11",17,Not Applicable,Not Applicable
,"Dec., 2015","2015/12",16,Not Applicable,Not Applicable
,"Jan., 2016","2016/01",20,Not Applicable,Not Applicable
,"Feb., 2016","2016/02",Suppressed,Not Applicable,Not Applicable
,"Mar., 2016","2016/03",20,Not Applicable,Not Applicable
,"Apr., 2016","2016/04",16,Not Applicable,Not Applicable
,"May, 2016","2016/05",18,Not Applicable,Not Applicable
,"Jun., 2016","2016/06",24,Not Applicable,Not Applicable
,"Jul., 2016","2016/07",21,Not Applicable,Not Applicable
,"Aug., 2016","2016/08",16,Not Applicable,Not Applicable
,"Sep., 2016","2016/09",22,Not Applicable,Not Applicable
,"Oct., 2016","2016/10",16,Not Applicable,Not Applicable
,"Nov., 2016","2016/11",15,Not Applicable,Not Applicable
,"Dec., 2016","2016/12",21,Not Applicable,Not Applicable
,"Jan., 2017","2017/01",19,Not Applicable,Not Applicable
,"Feb., 2017","2017/02",21,Not Applicable,Not Applicable
,"Mar., 2017","2017/03",19,Not Applicable,Not Applicable
,"Apr., 2017","2017/04",16,Not Applicable,Not Applicable
,"May, 2017","2017/05",Suppressed,Not Applicable,Not Applicable
,"Jun., 2017","2017/06",12,Not Applicable,Not Applicable
,"Jul., 2017","2017/07",10,Not Applicable,Not Applicable
,"Aug., 2017","2017/08",13,Not Applicable,Not Applicable
,"Sep., 2017","2017/09",19,Not Applicable,Not Applicable
,"Oct., 2017","2017/10",21,Not Applicable,Not Applicable
,"Nov., 2017","2017/11",23,Not Applicable,Not Applicable
,"Dec., 2017","2017/12",25,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Female_Repro_Age_Assault_99_17"
"MCD - ICD-10 Codes: X85-Y09 (Assault)"
"Sex: Female"
"States: Texas (48)"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years"
