"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jul., 2012","2012/07",73,Not Applicable,Not Applicable
,"Aug., 2012","2012/08",63,Not Applicable,Not Applicable
,"Sep., 2012","2012/09",59,Not Applicable,Not Applicable
,"Oct., 2012","2012/10",68,Not Applicable,Not Applicable
,"Nov., 2012","2012/11",71,Not Applicable,Not Applicable
,"Dec., 2012","2012/12",65,Not Applicable,Not Applicable
,"Jan., 2013","2013/01",63,Not Applicable,Not Applicable
,"Feb., 2013","2013/02",53,Not Applicable,Not Applicable
,"Mar., 2013","2013/03",53,Not Applicable,Not Applicable
,"Apr., 2013","2013/04",45,Not Applicable,Not Applicable
,"May, 2013","2013/05",55,Not Applicable,Not Applicable
,"Jun., 2013","2013/06",81,Not Applicable,Not Applicable
,"Jul., 2013","2013/07",73,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",63,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",61,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",54,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",63,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",58,Not Applicable,Not Applicable
,"Jan., 2014","2014/01",63,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",49,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",59,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",55,Not Applicable,Not Applicable
,"May, 2014","2014/05",59,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",66,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",61,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",79,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",53,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",64,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",69,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",75,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",79,Not Applicable,Not Applicable
,"Feb., 2015","2015/02",53,Not Applicable,Not Applicable
,"Mar., 2015","2015/03",66,Not Applicable,Not Applicable
,"Apr., 2015","2015/04",66,Not Applicable,Not Applicable
,"May, 2015","2015/05",84,Not Applicable,Not Applicable
,"Jun., 2015","2015/06",70,Not Applicable,Not Applicable
,"Jul., 2015","2015/07",77,Not Applicable,Not Applicable
,"Aug., 2015","2015/08",75,Not Applicable,Not Applicable
,"Sep., 2015","2015/09",73,Not Applicable,Not Applicable
,"Oct., 2015","2015/10",64,Not Applicable,Not Applicable
,"Nov., 2015","2015/11",81,Not Applicable,Not Applicable
,"Dec., 2015","2015/12",79,Not Applicable,Not Applicable
,"Jan., 2016","2016/01",69,Not Applicable,Not Applicable
,"Feb., 2016","2016/02",68,Not Applicable,Not Applicable
,"Mar., 2016","2016/03",91,Not Applicable,Not Applicable
,"Apr., 2016","2016/04",68,Not Applicable,Not Applicable
,"May, 2016","2016/05",91,Not Applicable,Not Applicable
,"Jun., 2016","2016/06",77,Not Applicable,Not Applicable
,"Jul., 2016","2016/07",94,Not Applicable,Not Applicable
,"Aug., 2016","2016/08",75,Not Applicable,Not Applicable
,"Sep., 2016","2016/09",91,Not Applicable,Not Applicable
,"Oct., 2016","2016/10",90,Not Applicable,Not Applicable
,"Nov., 2016","2016/11",69,Not Applicable,Not Applicable
,"Dec., 2016","2016/12",76,Not Applicable,Not Applicable
,"Jan., 2017","2017/01",97,Not Applicable,Not Applicable
,"Feb., 2017","2017/02",69,Not Applicable,Not Applicable
,"Mar., 2017","2017/03",79,Not Applicable,Not Applicable
,"Apr., 2017","2017/04",59,Not Applicable,Not Applicable
,"May, 2017","2017/05",90,Not Applicable,Not Applicable
,"Jun., 2017","2017/06",55,Not Applicable,Not Applicable
,"Jul., 2017","2017/07",81,Not Applicable,Not Applicable
,"Aug., 2017","2017/08",72,Not Applicable,Not Applicable
,"Sep., 2017","2017/09",68,Not Applicable,Not Applicable
,"Oct., 2017","2017/10",79,Not Applicable,Not Applicable
,"Nov., 2017","2017/11",81,Not Applicable,Not Applicable
,"Dec., 2017","2017/12",71,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Male_Repro_Age_Assault_99_17"
"MCD - ICD-10 Codes: X85-Y09 (Assault)"
"Sex: Male"
"States: Texas (48)"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years"
"UCD - ICD-10 Codes: X85-Y09 (Assault)"
"Year/Month: 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Month"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Apr 27, 2026 2:26:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 27, 2026 2:26:14 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
