"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Feb., 2021","2021/02",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Mar., 2021","2021/03",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Apr., 2021","2021/04",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","May, 2021","2021/05",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Jun., 2021","2021/06",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Jul., 2021","2021/07",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Aug., 2021","2021/08",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Sep., 2021","2021/09",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Oct., 2021","2021/10",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Nov., 2021","2021/11",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Dec., 2021","2021/12",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Jan., 2021","2021/01",119,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Feb., 2021","2021/02",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Mar., 2021","2021/03",91,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Apr., 2021","2021/04",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","May, 2021","2021/05",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Jun., 2021","2021/06",76,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Jul., 2021","2021/07",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Aug., 2021","2021/08",216,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Sep., 2021","2021/09",205,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Oct., 2021","2021/10",142,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Nov., 2021","2021/11",101,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Female","F","Dec., 2021","2021/12",89,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Jan., 2021","2021/01",224,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Feb., 2021","2021/02",165,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Mar., 2021","2021/03",123,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Apr., 2021","2021/04",136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","May, 2021","2021/05",129,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Jun., 2021","2021/06",113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Jul., 2021","2021/07",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Aug., 2021","2021/08",297,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Sep., 2021","2021/09",373,Not Applicable,Not Applicable,Not Applicable,Not Applicable
